rp,i,width,u,ld,t0,e,w,curveID
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve0
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve1
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve2
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve3
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve4
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve5
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve6
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve7
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve8
0.1,nan,0.00012589254117941674,0.1 0.3,quadratic,0.0,0.0,0.0,curve9
0.1,90.0,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve10
0.1,82.09858589779962,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve11
0.1,74.19717179559923,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve12
0.1,66.29575769339885,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve13
0.1,58.39434359119847,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve14
0.1,50.49292948899809,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve15
0.1,42.59151538679771,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve16
0.1,34.690101284597326,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve17
0.1,26.78868718239694,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve18
0.1,18.887273080196564,0.0001406940923446931,0.1 0.3,quadratic,0.0,0.0,0.0,curve19
0.1,90.0,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve20
0.1,82.892113342468,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve21
0.1,75.78422668493597,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve22
0.1,68.67634002740397,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve23
0.1,61.56845336987195,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve24
0.1,54.46056671233994,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve25
0.1,47.352680054807934,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve26
0.1,40.24479339727592,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve27
0.1,33.13690673974391,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve28
0.1,26.029020082211893,0.00015723590480619734,0.1 0.3,quadratic,0.0,0.0,0.0,curve29
0.1,90.0,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve30
0.1,83.42786876391493,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve31
0.1,76.85573752782986,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve32
0.1,70.28360629174477,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve33
0.1,63.71147505565971,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve34
0.1,57.13934381957464,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve35
0.1,50.567212583489564,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve36
0.1,43.99508134740449,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve37
0.1,37.42295011131942,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve38
0.1,30.850818875234353,0.00017572258613142878,0.1 0.3,quadratic,0.0,0.0,0.0,curve39
0.1,90.0,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve40
0.1,83.85502372666711,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve41
0.1,77.71004745333423,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve42
0.1,71.56507118000133,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve43
0.1,65.42009490666844,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve44
0.1,59.27511863333555,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve45
0.1,53.130142360002665,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve46
0.1,46.98516608666977,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve47
0.1,40.840189813336885,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve48
0.1,34.695213540004,0.00019638280019297697,0.1 0.3,quadratic,0.0,0.0,0.0,curve49
0.1,90.0,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve50
0.1,84.21727365185868,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve51
0.1,78.43454730371735,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve52
0.1,72.65182095557603,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve53
0.1,66.86909460743472,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve54
0.1,61.086368259293394,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve55
0.1,55.30364191115207,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve56
0.1,49.52091556301075,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve57
0.1,43.73818921486943,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve58
0.1,37.955462866728105,0.000219472095538076,0.1 0.3,quadratic,0.0,0.0,0.0,curve59
0.1,90.0,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve60
0.1,84.53476123902405,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve61
0.1,79.0695224780481,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve62
0.1,73.60428371707215,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve63
0.1,68.1390449560962,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve64
0.1,62.67380619512026,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve65
0.1,57.208567434144314,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve66
0.1,51.743328673168364,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve67
0.1,46.278089912192414,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve68
0.1,40.812851151216464,0.00024527606629777033,0.1 0.3,quadratic,0.0,0.0,0.0,curve69
0.1,90.0,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve70
0.1,84.81878918328695,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve71
0.1,79.63757836657389,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve72
0.1,74.45636754986084,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve73
0.1,69.27515673314778,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve74
0.1,64.09394591643473,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve75
0.1,58.91273509972168,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve76
0.1,53.731524283008625,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve77
0.1,48.55031346629557,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve78
0.1,43.369102649582516,0.0002741138847333373,0.1 0.3,quadratic,0.0,0.0,0.0,curve79
0.1,90.0,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve80
0.1,85.07647212935915,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve81
0.1,80.15294425871829,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve82
0.1,75.22941638807744,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve83
0.1,70.30588851743659,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve84
0.1,65.38236064679575,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve85
0.1,60.45883277615489,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve86
0.1,55.53530490551404,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve87
0.1,50.611777034873185,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve88
0.1,45.68824916423233,0.00030634224911443956,0.1 0.3,quadratic,0.0,0.0,0.0,curve89
0.1,90.0,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve90
0.1,85.31264396175658,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve91
0.1,80.62528792351316,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve92
0.1,75.93793188526975,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve93
0.1,71.25057584702633,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve94
0.1,66.5632198087829,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve95
0.1,61.87586377053949,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve96
0.1,57.188507732296074,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve97
0.1,52.50115169405265,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve98
0.1,47.81379565580923,0.000342359795760758,0.1 0.3,quadratic,0.0,0.0,0.0,curve99
0.1,90.0,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve100
0.1,85.53077384297262,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve101
0.1,81.06154768594526,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve102
0.1,76.59232152891788,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve103
0.1,72.12309537189051,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve104
0.1,67.65386921486314,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve105
0.1,63.184643057835764,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve106
0.1,58.71541690080839,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve107
0.1,54.24619074378102,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve108
0.1,49.77696458675365,0.0003826120298201575,0.1 0.3,quadratic,0.0,0.0,0.0,curve109
0.1,90.0,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve110
0.1,85.73345655547037,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve111
0.1,81.46691311094075,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve112
0.1,77.20036966641112,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve113
0.1,72.9338262218815,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve114
0.1,68.66728277735187,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve115
0.1,64.40073933282224,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve116
0.1,60.134195888292616,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve117
0.1,55.86765244376299,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve118
0.1,51.60110899923337,0.00042759683577273794,0.1 0.3,quadratic,0.0,0.0,0.0,curve119
0.1,90.0,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve120
0.1,85.92269671702545,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve121
0.1,81.84539343405089,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve122
0.1,77.76809015107634,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve123
0.1,73.69078686810178,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve124
0.1,69.61348358512723,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve125
0.1,65.53618030215266,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve126
0.1,61.458877019178104,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve127
0.1,57.38157373620355,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve128
0.1,53.304270453228995,0.00047787063582083205,0.1 0.3,quadratic,0.0,0.0,0.0,curve129
0.1,90.0,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve130
0.1,86.10008390929804,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve131
0.1,82.20016781859607,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve132
0.1,78.3002517278941,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve133
0.1,74.40033563719216,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve134
0.1,70.50041954649019,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve135
0.1,66.60050345578823,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve136
0.1,62.700587365086264,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve137
0.1,58.80067127438431,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve138
0.1,54.90075518368234,0.0005340552723387715,0.1 0.3,quadratic,0.0,0.0,0.0,curve139
0.1,90.0,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve140
0.1,86.26690596166159,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve141
0.1,82.5338119233232,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve142
0.1,78.80071788498479,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve143
0.1,75.06762384664638,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve144
0.1,71.33452980830799,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve145
0.1,67.60143576996958,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve146
0.1,63.86834173163118,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve147
0.1,60.13524769329278,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve148
0.1,56.402153654954375,0.000596845699512231,0.1 0.3,quadratic,0.0,0.0,0.0,curve149
